"","SPECIES","REGION","DISTRICT","YEAR","A_EST","A_SE","B_EST","B_SE"
"1","SNOW","EBS","ALL",1989,0.10699411,0.01022512,90.65492,1.0145028
"2","SNOW","EBS","ALL",1990,0.07277573,0.008755984,94.84672,1.8774647
"3","SNOW","EBS","ALL",1991,0.09147539,0.012890991,96.7591,1.7496379
"4","SNOW","EBS","ALL",1992,0.07000177,0.006038387,84.28333,1.3990401
"5","SNOW","EBS","ALL",1993,0.081824,0.008058921,75.49382,1.3667858
"6","SNOW","EBS","ALL",1994,0.06615964,0.005924545,84.73689,1.5363862
"7","SNOW","EBS","ALL",1995,0.07693595,0.002598262,84.39154,0.4984764
"8","SNOW","EBS","ALL",1996,0.07825773,0.007873234,88.14304,1.4599727
"9","SNOW","EBS","ALL",1997,0.08916597,0.010733283,94.75338,1.5332163
"10","SNOW","EBS","ALL",1998,0.07199527,0.008004203,88.87168,1.7535492
"11","SNOW","EBS","ALL",1999,0.06472373,0.006686044,82.82275,1.8111555
"12","SNOW","EBS","ALL",2000,0.07692534,0.00809458,85.27822,1.5533928
"13","SNOW","EBS","ALL",2001,0.08583334,0.006151863,87.74763,0.9483285
"14","SNOW","EBS","ALL",2002,0.08031616,0.011003608,89.79601,1.9372533
"15","SNOW","EBS","ALL",2003,0.07118063,0.007819776,93.2268,1.7526488
"16","SNOW","EBS","ALL",2004,0.06110766,0.005644704,83.49334,1.7146144
"17","SNOW","EBS","ALL",2005,0.0672757,0.007452193,83.10497,1.8689441
"18","SNOW","EBS","ALL",2006,0.05894915,0.005493406,83.22545,1.7922222
"19","SNOW","EBS","ALL",2007,0.05309923,0.007240798,84.65062,2.9063729
"20","SNOW","EBS","ALL",2009,0.05510548,0.012275288,97.80654,4.5850938
"21","SNOW","EBS","ALL",2010,0.08746835,0.010431722,73.64423,1.5483566
"22","SNOW","EBS","ALL",2011,0.07387553,0.012888884,87.43037,2.6818202
"23","SNOW","EBS","ALL",2013,0.0703324,0.007670432,80.1952,1.7601938
"24","SNOW","EBS","ALL",2015,0.07003793,0.009241827,79.61175,2.1385426
"25","SNOW","EBS","ALL",2017,0.07477514,0.005991697,76.44053,1.2165096
"26","SNOW","EBS","ALL",2018,0.08627252,0.004560928,73.70881,0.6958518
"27","SNOW","EBS","ALL",2019,0.08341229,0.009373278,84.02355,1.5299687
"28","SNOW","EBS","ALL",2021,0.0487697,0.007846442,66.38867,3.6670563
"29","SNOW","EBS","ALL",2022,0.06757293,0.009025401,78.63274,2.2429171
"30","SNOW","EBS","ALL",2023,0.08549911,0.005533664,83.81355,0.8596977
"31","SNOW","EBS","ALL",2024,0.06779643,0.005083521,81.78681,1.2553419
"32","SNOW","EBS","ALL",2025,0.06716349,0.006535271,78.94679,1.643924
